;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
105;2021-04-11;W;1;1;Home;1;57.0;25.0;4-4-2;12.0;16.4;91.1;8.0;15.0;521.22;4;4;3-5-2;Juventus;reste;25.0;0;3;0;322;0;0;2021-04;4
106;2021-04-18;L;0;0;Away;0;55.0;25.0;4-4-2;1.0;16.1;83.6;12.0;16.0;243.75;7;4;3-5-2;Juventus;reste;11.0;0;2;0;322;0;0;2021-04;4
107;2021-04-25;D;0;1;Away;0;67.0;25.0;3-5-2;1.0;13.7;85.4;14.0;16.0;316.7;4;4;3-5-2;Juventus;reste;9.0;0;1;0;322;0;0;2021-04;3
109;2021-05-09;L;0;0;Home;1;56.0;25.0;4-4-2;1.0;16.7;85.1;12.0;17.0;95.54999999999997;7;5;4-5-1;Juventus;reste;16.0;0;2;0;327;0;0;2021-05;4
110;2021-05-12;W;1;1;Away;0;35.0;25.0;4-4-2;7.0;18.9;80.7;8.0;13.0;391.5;3;5;4-5-1;Juventus;reste;15.0;0;2;0;327;0;0;2021-05;4
111;2021-05-23;W;1;1;Away;0;51.0;25.0;4-4-2;9.0;14.9;86.7;6.0;16.0;456.3;4;5;4-5-1;Juventus;reste;21.0;0;2;0;327;0;0;2021-05;4
112;2020-09-26;W;1;1;Away;0;55.0;27.2;3-5-2;6.0;16.0;82.6;12.0;13.0;129.95000000000002;10;9;4-3-3;Lazio;automne;16.0;0;1;0;207;0;0;2020-09;3
113;2020-09-30;L;0;0;Home;1;61.0;27.2;3-5-2;5.0;14.5;81.0;14.0;16.0;-134.26999999999998;4;9;3-4-3;Lazio;automne;14.0;0;7;0;155;0;0;2020-09;3
114;2020-10-17;L;0;0;Away;0;48.0;27.2;3-5-2;0.0;23.9;81.7;25.0;10.0;135.93;13;10;4-4-2;Lazio;automne;10.0;0;2;0;162;0;0;2020-10;3
115;2020-10-24;W;1;1;Home;1;48.0;27.2;3-5-2;3.0;18.1;79.2;18.0;14.0;78.28000000000003;4;10;4-5-1;Lazio;automne;10.0;0;3;0;327;0;0;2020-10;3
