;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
81;2021-04-03;L;0;0;Home;1;56.0;24,1;4-5-1;2.0;18.6;82.8;6.0;17.0;-510.29999999999995;14;4;3-5-2;Bologna;reste;12.0;0;4;0;4.0;14.0;3.0;15.0;Internazionale;486.86400000000003;588.0
82;2021-04-11;L;0;0;Away;0;56.0;24,1;4-5-1;4.0;17.5;82.4;7.0;14.0;-242.04999999999998;8;4;3-4-3;Bologna;reste;12.0;0;1;0;3.0;14.0;0.0;14.0;Roma;496.87200000000007;603.0
83;2021-04-18;W;1;1;Home;1;41.0;24,1;4-5-1;4.0;13.6;74.8;12.0;15.0;81.91999999999999;7;4;4-3-3;Bologna;reste;10.0;1;1;0;1.0;8.0;0.0;12.0;Spezia;290.972;389.0
84;2021-04-21;D;0;1;Home;1;48.0;24,1;4-5-1;1.0;24.6;70.1;10.0;26.0;-21.680000000000007;3;4;3-5-2;Bologna;reste;8.0;0;4;0;2.0;18.0;3.0;15.0;Torino;267.08099999999996;381.0
85;2021-04-25;L;0;0;Away;0;44.0;24,1;5-3-2;3.0;20.1;78.0;16.0;8.0;-276.4;4;4;3-4-3;Bologna;reste;8.0;0;1;1;0.0;24.0;2.0;12.0;Atalanta;326.82;419.0
86;2021-05-02;D;0;1;Home;1;62.0;24,1;3-4-3;6.0;16.7;84.9;6.0;16.0;-133.20000000000002;7;5;3-5-2;Bologna;reste;12.0;0;2;0;2.0;8.0;1.0;12.0;Fiorentina;449.12100000000004;529.0
87;2021-05-08;D;0;1;Away;0;53.0;24,1;4-5-1;3.0;18.1;82.5;8.0;18.0;-19.400000000000006;6;5;3-6-1;Bologna;reste;15.0;1;1;0;1.0;9.0;1.0;12.0;Udinese;410.025;497.0
88;2021-05-12;L;0;0;Home;1;66.0;24,1;4-5-1;6.0;17.3;79.8;5.0;9.0;41.66999999999999;4;5;4-4-2;Bologna;reste;22.0;0;1;0;2.0;10.0;1.0;11.0;Genoa;493.164;618.0
89;2021-05-17;D;0;1;Away;0;49.0;24,1;4-5-1;5.0;17.0;77.8;12.0;17.0;-3.6100000000000136;5;5;3-4-3;Bologna;reste;13.0;0;3;0;3.0;12.0;1.0;19.0;Hellas-Verona;346.21;445.0
90;2021-05-23;L;0;0;Home;1;49.0;24,1;4-5-1;5.0;22.4;84.2;10.0;7.0;-479.69999999999993;6;5;4-4-2;Bologna;reste;20.0;0;1;0;2.0;21.0;0.0;16.0;Juventus;432.788;514.0
