Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Dennis Man,FWMF,Parma,21,7.8,19,6,31.6,2079b3cc
Gianluca Mancini,DF,Roma,24,31.7,28,11,39.3,5aa53281
Rolando Mandragora,MF,Udinese,23,4.4,9,4,44.4,c7259b83
Rolando Mandragora,MF,Torino,23,16.9,27,8,29.6,c7259b83
Mario Mandžukić,FW,Milan,34,2.4,5,3,60.0,afa0d4e0
Niccolò Manfredini,GK,Benevento,32,1.0,0,0,,e4b39692
Kostas Manolas,DF,Napoli,29,25.5,8,3,37.5,c707411f
Juan Manuel Ramos,DF,Spezia,23,3.3,1,0,0.0,36d7971a
Federico Marchetti,GK,Genoa,37,3.7,0,0,,f794b426
Riccardo Marchizza,DF,Spezia,22,17.3,7,0,0.0,91d0fabf
Gian Marco Ferrari,DF,Sassuolo,28,33.5,25,5,20.0,8650af85
Răzvan Marin,MF,Cagliari,24,32.9,27,10,37.0,7fac99d4
Marlon,DF,Sassuolo,24,19.4,4,2,50.0,cdf65d12
Luca Marrone,DF,Crotone,30,17.6,4,2,50.0,ea468ea8
Lautaro Martínez,FW,Inter,22,28.5,107,37,34.6,f7036e1c
Lucas Martínez Quarta,DF,Fiorentina,24,16.5,16,4,25.0,3ec3c1c9
Adam Marušić,DF,Lazio,27,33.0,27,12,44.4,d4535821
Andrea Masiello,DF,Genoa,34,28.5,5,0,0.0,e0314d87
Giuseppe Mastinu,FW,Spezia,28,0.4,0,0,,26cd1bff
Ryder Matos,MF,Udinese,27,0.1,0,0,,7280b54f
Federico Mattiello,DF,Spezia,25,0.4,0,0,,fba81826
Borja Mayoral,FW,Roma,23,17.2,40,15,37.5,64e8ed6d
Antonio Mazzotta,DF,Crotone,30,0.6,0,0,,4366d5e9
Ibrahima Mbaye,DF,Bologna,25,4.8,1,1,100.0,cfbf9881
Weston McKennie,MF,Juventus,21,18.9,29,14,48.3,01c3aff5
Gary Medel,DFMF,Bologna,32,5.7,0,0,,563a68ad
Soualiho Meïté,MF,Torino,26,10.2,8,4,50.0,5cec2c74
Soualiho Meïté,MF,Milan,26,6.5,7,3,42.9,5cec2c74
Filippo Melegoni,MFDF,Genoa,21,4.3,4,1,25.0,6604165d
Arthur Melo,MF,Juventus,23,12.9,3,1,33.3,48b3dd60
